CMDLINE E:\Software\Anaconda\envs\MyEnvNN_torch_MRI\python.exe MemoryTest.py
MEM 5582.542969 1584630172.2249
MEM 5588.972656 1584630172.3343
MEM 5588.972656 1584630172.4499
MEM 5588.972656 1584630172.5592
MEM 5588.972656 1584630172.6697
MEM 5588.972656 1584630172.7790
MEM 5582.542969 1584630172.8884
MEM 5582.542969 1584630172.9977
MEM 5582.542969 1584630173.1071
MEM 5589.578125 1584630173.2164
MEM 5580.167969 1584630173.3258
MEM 5577.738281 1584630173.4351
MEM 5575.507812 1584630173.5445
MEM 5575.507812 1584630173.6538
MEM 5575.507812 1584630173.7632
MEM 5575.507812 1584630173.8725
MEM 5582.542969 1584630173.9819
MEM 5582.542969 1584630174.0912
MEM 5582.542969 1584630174.2006
MEM 5582.542969 1584630174.3099
MEM 5588.972656 1584630174.4193
MEM 5588.972656 1584630174.5301
MEM 5588.972656 1584630174.6394
MEM 5588.972656 1584630174.7499
MEM 5582.542969 1584630174.8592
MEM 5582.542969 1584630174.9686
MEM 5582.542969 1584630175.0779
MEM 5582.542969 1584630175.1873
MEM 5582.535156 1584630175.2966
MEM 5578.882812 1584630175.4060
MEM 5576.125000 1584630175.5153
MEM 5575.570312 1584630175.6247
MEM 5575.570312 1584630175.7340
MEM 5575.570312 1584630175.8434
MEM 5575.570312 1584630175.9527
MEM 5575.570312 1584630176.0621
MEM 5581.679688 1584630176.1714
MEM 5582.605469 1584630176.2808
MEM 5582.605469 1584630176.3901
MEM 5582.605469 1584630176.4995
MEM 5589.035156 1584630176.6088
MEM 5589.035156 1584630176.7182
MEM 5589.035156 1584630176.8275
MEM 5588.968750 1584630176.9369
MEM 5582.605469 1584630177.0462
MEM 5582.605469 1584630177.1556
MEM 5583.652344 1584630177.2649
MEM 5576.343750 1584630177.3743
MEM 5575.570312 1584630177.4836
MEM 5575.570312 1584630177.5930
MEM 5582.605469 1584630177.7023
MEM 5582.605469 1584630177.8116
MEM 5589.035156 1584630177.9210
MEM 5589.035156 1584630178.0304
MEM 5582.605469 1584630178.1397
MEM 5582.605469 1584630178.2490
MEM 5577.355469 1584630178.3584
MEM 5575.570312 1584630178.4677
MEM 5575.570312 1584630178.5771
MEM 5582.605469 1584630178.6876
MEM 5582.605469 1584630178.7969
MEM 5589.035156 1584630178.9146
MEM 5582.605469 1584630179.0239
MEM 5582.609375 1584630179.1333
MEM 5589.535156 1584630179.2437
MEM 5579.101562 1584630179.3531
MEM 5576.632812 1584630179.4624
MEM 5575.574219 1584630179.5730
MEM 5575.574219 1584630179.6824
